,raw_address,simple_address,longitude,latitude
0,"Liverpool Hosp,Dept Dermatol,Sydney,NSW,Australia.","Sydney,Australia",151.1852,-33.92
1,"University Med Ctr Hamburg Eppendorf,Dept Child & Adolescent Psychiat Psychotherapy &,Hamburg,Germany.","Hamburg,Germany",10,53.55
2,"Acad Med Ctr,Trauma Unit,Dept Surg,Meibergdreef 9,POB 22660,NL-1100 DD Amsterdam,Netherlands.","Amsterdam,Netherlands",4.9166,52.35
3,"University Antwerp,Campus Drie Eiken DR334,University Pl 1,B-2610 Antwerp,Belgium.","Antwerpen,Belgium",4.415,51.2204
4,"Merck KGaA,Darmstadt,Germany.","Darmstadt,Germany",8.646927,49.878708
5,"Karolinska Inst,Dept Learning Informat Management & Eth LIME,Med Management Ctr,Hlth Econ & Econ Evaluat Res Grp,Tomtebodavagen 18A,S-17177 Stockholm,Sweden.","Stockholm,Sweden",18.0973,59.3508
6,"University Politecn Marche,Dept Biomed Sci & Publ Hlth,Sect Hyg Prevent Med & Publ Hlth,Ancona,Italy.","Ancona,Italy",13.4999,43.6004
7,"Taichung Vet Gen Hosp,Div Gastroenterol,Dept Internal Med,Taichung,Taiwan.","Taichung,Taiwan",120.6817,24.1521
8,"University Manitoba,Dept Internal Med,GF533,820 Sherbrook St,Winnipeg,MB R3A 1R9,Canada.","Winnipeg,Canada",-97.166,49.883
9,"University Adelaide,NHMRC Ctr Res Excellence Reduce Inequal Heart Dis,Adelaide Med Sch,Discipline Gen Practice,Hughes Bldg,Level 8,Room 813,Adelaide,SA 5005,Australia.","Adelaide,Australia",138.6,-34.935
10,"Stanford University,Sch Med,Div Gastroenterol & Hepatol,750 Welch Rd 210,Palo Alto,CA 94304 USA.","Palo Alto,USA",-122.1465,37.3917
11,"University Paris 05,Sorbonne Paris Cite,Fac Med,F-75006 Paris,France.","Paris,France",2.3333,48.8667
12,"University Milan,Dept Pathophysiol & Transplantat,Milan,Italy.","Milan,Italy",9.205,45.47
13,"Heinrich Heine University,Med Fac,Dept Neurosurg,Dusseldorf,Germany.","Dusseldorf,Germany",6.78,51.2204
14,"McGill University,Med,Montreal,PQ,Canada.","Montreal,Canada",-73.5833,45.5
15,"University Lausanne,Inst Family Med,Lausanne,Switzerland.","Lausanne,Switzerland",6.65,46.5304
16,"University Sydney,Dept Med & Publ Hlth,Camperdown,NSW 2050,Australia.","Sydney,Australia",151.1852,-33.92
17,"University Oxford,Hlth Econ Res Ctr,Nuffield Dept Populat Hlth,Oxford,United Kingdom.","Oxford,United Kingdom",-1.25,51.7704
18,"University Cape Town,Sch Publ Hlth & Family Med,Hlth Econ Unit,Cape Town,South Africa.","Cape Town,South Africa",18.435,-33.92
19,"Nantong University,Sch Publ Hlth,9 Seyuan Rd,Nantong 226019,Jiangsu,China.","Nantong,China",120.825,32.0304
20,"Catholic University Korea,Uijeongbu St Marys Hosp,Coll Med,Dept Rehabil Med,Gyeonggi Do 480717,Uijeongbu Si,South Korea.","Catholic University Korea,South Korea",126.99778,37.56829
