Aalborg,,Denmark,9220,57.04305,10.01231,7,<li><a href="http://dx.doi.org/10.1089/tmj.2012.0003">Jensen (2012) TELEMED E-HEALTH</a></li><li><a href="http://dx.doi.org/10.1089/tmj.2012.0003">Jensen (2012) TELEMED E-HEALTH</a></li><li><a href="http://dx.doi.org/10.1089/tmj.2012.0003">Jensen (2012) TELEMED E-HEALTH</a></li><li><a href="http://dx.doi.org/10.1007/s11482-011-9163-5">Pristed (2012) APPL RES QUAL LIFE</a></li><li><a href="http://dx.doi.org/10.1007/s11482-011-9163-5">Pristed (2012) APPL RES QUAL LIFE</a></li><li><a href="http://dx.doi.org/10.1093/annonc/mdr583">Brundage (2012) ANN ONCOL</a></li><li><a href="http://dx.doi.org/10.1111/j.1365-2354.2012.01327.x">Thoresen (2012) EUR J CANCER CARE</a></li>
Aanekoski,,Finland,X,62.6078,25.7212,2,<li><a href="http://dx.doi.org/10.1177/1741826711420346">Korhonen (2012) EUR J PREV CARDIOL</a></li><li><a href="http://dx.doi.org/10.1186/1745-6215-13-85">Pitkala (2012) TRIALS</a></li>
Aarau,,Switzerland,5000,47.38953,8.04896,3,<li><a href="http://dx.doi.org/10.1016/j.urology.2012.04.053">Seiler (2012) UROLOGY</a></li><li><a href="http://dx.doi.org/10.1016/j.urology.2012.04.053">Seiler (2012) UROLOGY</a></li><li><a href="http://dx.doi.org/10.1016/j.injury.2011.01.002">Attenberger (2012) INJURY</a></li>
Aarhus,,Denmark,8000,56.15263,10.20739,13,<li><a href="http://dx.doi.org/10.1186/1477-7525-10-150">Thaysen (2012) HEALTH QUAL LIFE OUT</a></li><li><a href="http://dx.doi.org/10.2337/dc11-2503">Hirsch (2012) DIABETES CARE</a></li><li><a href="http://dx.doi.org/10.1002/uog.11118">Iversen (2012) ULTRASOUND OBST GYN</a></li><li><a href="http://dx.doi.org/10.1016/j.ejca.2011.11.019">Brandberg (2012) EUR J CANCER</a></li><li><a href="http://dx.doi.org/10.1111/j.1463-1318.2011.02668.x">Thaysen (2012) COLORECTAL DIS</a></li><li><a href="http://dx.doi.org/10.1007/s00167-012-1919-4">Larsen (2012) KNEE SURG SPORT TR A</a></li><li><a href="http://dx.doi.org/10.1161/CIRCULATIONAHA.111.052571">Houlind (2012) CIRCULATION</a></li><li><a href="http://dx.doi.org/10.1161/CIRCULATIONAHA.111.052571">Houlind (2012) CIRCULATION</a></li><li><a href="http://dx.doi.org/10.1161/CIRCULATIONAHA.111.052571">Houlind (2012) CIRCULATION</a></li><li><a href="http://dx.doi.org/10.1007/s00223-012-9590-9">Walsh (2012) CALCIFIED TISSUE INT</a></li><li><a href="http://dx.doi.org/10.1136/bmjopen-2012-001481">Wulff (2012) BMJ OPEN</a></li><li><a href="http://dx.doi.org/10.1136/bmjopen-2012-001481">Wulff (2012) BMJ OPEN</a></li><li><a href="http://dx.doi.org/10.1530/EJE-11-0740">Jakob (2012) EUR J ENDOCRINOL</a></li>
Aberdeen AB25 2ZD,,United Kingdom,AB25 2ZD,57.15655,-2.13295,1,<li><a href="http://dx.doi.org/10.1186/1745-6215-13-51">Craig (2012) TRIALS</a></li>
Aberdeen AB25 2ZN,,United Kingdom,AB25 2ZN,57.15516,-2.1345,2,<li><a href="http://dx.doi.org/10.1186/1745-6215-13-51">Craig (2012) TRIALS</a></li><li><a href="http://dx.doi.org/10.1186/1745-6215-13-51">Craig (2012) TRIALS</a></li>
Aberdeen,,United Kingdom,X,57.15652,-2.12073,7,<li><a href="http://dx.doi.org/10.1007/s11136-011-0082-6">Gundy (2012) QUAL LIFE RES</a></li><li><a href="http://dx.doi.org/10.1186/1745-6215-13-86">Logan (2012) TRIALS</a></li><li><a href="http://dx.doi.org/10.1016/j.jval.2012.03.1215">King (2012) VALUE HEALTH</a></li><li><a href="http://dx.doi.org/10.1002/nau.21231">Buckley (2012) NEUROUROL URODYNAM</a></li><li><a href="http://dx.doi.org/10.1016/j.jpsychores.2012.01.009">Creed (2012) J PSYCHOSOM RES</a></li><li><a href="http://dx.doi.org/10.1136/bmj.e1060">Bucknall (2012) BRIT MED J</a></li><li><a href="http://dx.doi.org/10.1007/s00415-011-6202-y">Shearer (2012) J NEUROL</a></li>
Abington,,United States,19001,40.12566,-75.12593,1,<li><a href="http://dx.doi.org/10.1097/SPV.0b013e31825e6707">Gelhorn (2012) FEMALE PELVIC MED RE</a></li>
Abu Dhabi,,United Arab Emirates,X,24.44393,54.41905,1,<li><a href="http://dx.doi.org/10.1111/j.1365-2893.2012.01609.x">Kemmer (2012) J VIRAL HEPATITIS</a></li>
Adelaide,,Australia,5000,-34.92564,138.60077,54,<li><a href="http://dx.doi.org/10.1007/s11136-011-0101-7">Atlantis (2012) QUAL LIFE RES</a></li><li><a href="http://dx.doi.org/10.1007/s11136-011-0101-7">Atlantis (2012) QUAL LIFE RES</a></li><li><a href="http://dx.doi.org/10.1007/s11136-011-0101-7">Atlantis (2012) QUAL LIFE RES</a></li><li><a href="http://dx.doi.org/10.1007/s11136-011-0101-7">Atlantis (2012) QUAL LIFE RES</a></li><li><a href="http://dx.doi.org/10.3109/15412555.2012.706666">Paddison (2012) COPD</a></li><li><a href="http://dx.doi.org/10.1016/j.jval.2012.07.011">Stevens (2012) VALUE HEALTH</a></li><li><a href="http://dx.doi.org/10.1016/j.eatbeh.2012.05.008">Latner (2012) EAT BEHAV</a></li><li><a href="http://dx.doi.org/10.1111/j.1752-7325.2011.00281.x">Crocombe (2012) J PUBLIC HEALTH DENT</a></li><li><a href="http://dx.doi.org/10.1186/1472-6963-12-406">Tavella (2012) BMC HEALTH SERV RES</a></li><li><a href="http://dx.doi.org/10.1186/1472-6963-12-406">Tavella (2012) BMC HEALTH SERV RES</a></li><li><a href="http://dx.doi.org/10.1111/ajco.12022_4">Bradley-Peni (2012) ASIA-PAC J CLIN ONCO</a></li><li><a href="http://dx.doi.org/10.1136/sextrans-2011-050161">Conway (2012) SEX TRANSM INFECT</a></li><li><a href="http://dx.doi.org/10.1186/1748-5908-7-83">Bunker (2012) IMPLEMENT SCI</a></li><li><a href="http://dx.doi.org/10.1597/10-126">Foo (2012) CLEFT PALATE-CRAN J</a></li><li><a href="http://dx.doi.org/10.1597/10-126">Foo (2012) CLEFT PALATE-CRAN J</a></li><li><a href="http://dx.doi.org/10.1597/10-126">Foo (2012) CLEFT PALATE-CRAN J</a></li><li><a href="http://dx.doi.org/10.1597/10-126">Foo (2012) CLEFT PALATE-CRAN J</a></li><li><a href="http://dx.doi.org/10.1186/1477-7525-10-69">Couzner (2012) HEALTH QUAL LIFE OUT</a></li><li><a href="http://dx.doi.org/10.1186/1477-7525-10-69">Couzner (2012) HEALTH QUAL LIFE OUT</a></li><li><a href="http://dx.doi.org/10.3109/13697137.2012.655564">Burger (2012) CLIMACTERIC</a></li><li><a href="http://dx.doi.org/10.1007/s00127-011-0394-4">Atlantis (2012) SOC PSYCH PSYCH EPID</a></li><li><a href="http://dx.doi.org/10.1007/s00127-011-0394-4">Atlantis (2012) SOC PSYCH PSYCH EPID</a></li><li><a href="http://dx.doi.org/10.1007/s00127-011-0394-4">Atlantis (2012) SOC PSYCH PSYCH EPID</a></li><li><a href="http://dx.doi.org/10.1007/s00127-011-0394-4">Atlantis (2012) SOC PSYCH PSYCH EPID</a></li><li><a href="http://dx.doi.org/10.1007/s00127-011-0394-4">Atlantis (2012) SOC PSYCH PSYCH EPID</a></li><li><a href="http://dx.doi.org/10.1597/10-143">Roberts (2012) CLEFT PALATE-CRAN J</a></li><li><a href="http://dx.doi.org/10.1111/j.1444-0938.2012.00742.x">Fenwick (2012) CLIN EXP OPTOM</a></li><li><a href="http://dx.doi.org/10.1111/j.1444-0938.2012.00742.x">Fenwick (2012) CLIN EXP OPTOM</a></li><li><a href="http://dx.doi.org/10.1111/j.1444-0938.2012.00742.x">Fenwick (2012) CLIN EXP OPTOM</a></li><li><a href="http://dx.doi.org/10.1093/ndt/gfr568">Szeifert (2012) NEPHROL DIAL TRANSPL</a></li><li><a href="http://dx.doi.org/10.1007/s11136-011-9971-y">Ratcliffe (2012) QUAL LIFE RES</a></li><li><a href="http://dx.doi.org/10.1007/s11136-011-9971-y">Ratcliffe (2012) QUAL LIFE RES</a></li><li><a href="http://dx.doi.org/10.1136/pgmj.2010.191312rep">Fenwick (2012) POSTGRAD MED J</a></li><li><a href="http://dx.doi.org/10.1136/pgmj.2010.191312rep">Fenwick (2012) POSTGRAD MED J</a></li><li><a href="http://dx.doi.org/10.1007/s12529-010-9136-3">Brennan (2012) INT J BEHAV MED</a></li><li><a href="http://dx.doi.org/10.1167/iovs.11-8992">Fenwick (2012) INVEST OPHTH VIS SCI</a></li><li><a href="http://dx.doi.org/10.1167/iovs.11-8992">Fenwick (2012) INVEST OPHTH VIS SCI</a></li><li><a href="http://dx.doi.org/10.1167/iovs.11-8992">Fenwick (2012) INVEST OPHTH VIS SCI</a></li><li><a href="http://dx.doi.org/10.1111/j.1600-0528.2011.00634.x">Crocombe (2012) COMMUNITY DENT ORAL</a></li><li><a href="http://dx.doi.org/10.1016/j.ctim.2011.09.008">Beatty (2012) COMPLEMENT THER MED</a></li><li><a href="http://dx.doi.org/10.1002/14651858.CD000994.pub3">Wong (2012) COCHRANE DB SYST REV</a></li><li><a href="http://dx.doi.org/10.1002/14651858.CD000994.pub3">Wong (2012) COCHRANE DB SYST REV</a></li><li><a href="http://dx.doi.org/10.1002/14651858.CD007244.pub2">Leach (2012) COCHRANE DB SYST REV</a></li><li><a href="http://dx.doi.org/10.1002/14651858.CD007244.pub2">Leach (2012) COCHRANE DB SYST REV</a></li><li><a href="http://dx.doi.org/10.1002/14651858.CD007170.pub2">Leach (2012) COCHRANE DB SYST REV</a></li><li><a href="http://dx.doi.org/10.1002/14651858.CD007170.pub2">Leach (2012) COCHRANE DB SYST REV</a></li><li><a href="http://dx.doi.org/10.2165/11597900-000000000-00000">Ratcliffe (2012) PHARMACOECONOMICS</a></li><li><a href="http://dx.doi.org/10.2165/11597900-000000000-00000">Ratcliffe (2012) PHARMACOECONOMICS</a></li><li><a href="http://dx.doi.org/10.1002/14651858.CD009899">Page (2012) COCHRANE DB SYST REV</a></li><li><a href="http://dx.doi.org/10.1002/14651858.CD001116.pub3">Chandratilleke (2012) COCHRANE DB SYST REV</a></li><li><a href="http://dx.doi.org/10.1002/14651858.CD001116.pub3">Chandratilleke (2012) COCHRANE DB SYST REV</a></li><li><a href="http://dx.doi.org/10.1002/14651858.CD001116.pub3">Chandratilleke (2012) COCHRANE DB SYST REV</a></li><li><a href="http://dx.doi.org/10.1634/theoncologist.2011-0111">Boers-Doets (2012) ONCOLOGIST</a></li><li><a href="http://dx.doi.org/10.1093/epirev/mxr022">Polinder (2012) EPIDEMIOL REV</a></li>
